KEY,TRACK NAME,TRACK KEY,LATITUDE,LONGITUDE
0,Watkins Glen International,watkins,42.341043,-76.928877
1,Calabogie Motorsports Park,bogie,43.301772,-76.67252
2,Canadian Tire Motorsports Park,mosport,44.054383,-78.674393
3,Le Circuit Mont Tremblant,tremblant,46.193315,-74.611497
4,Shannonville Motorsports Park,shannonville,44.229292,-77.16246
5,Toronto Motorsports Park,cayuga,42.90299,-79.858045
6,Grand Bend Speedway,grand,43.288794,-81.718031
7,Palmer Motorsports Park,palmer,42.235566,-72.245465
8,Virginia International Raceway,vir,36.568827,-79.206663
9,Road America,ramerica,43.797904,-87.989615
10,Road Atlanta,ratlanta,34.15039,-83.81421
11,Mid-Ohio Racecourse,midohio,40.689497,-82.635272
12,Mazda Raceway Laguna Seca,laguna,36.586463,-121.756652
